timezero,location,target,value
20100905,US National,Season onset,20101219
20100912,US National,1 wk ahead,1.1180328172565
20100912,US National,2 wk ahead,1.1180594218477
20100912,US National,3 wk ahead,1.10939
20100912,US National,4 wk ahead,1.24341
20100912,US National,Season peak percentage,4.55159
20100912,US National,Season peak week,20110130
20100912,US National,Season onset,20101219
20100919,US National,1 wk ahead,1.1180594218477
20100919,US National,2 wk ahead,1.10939
20100919,US National,3 wk ahead,1.24341
20100919,US National,4 wk ahead,1.25726
20100919,US National,Season peak percentage,4.55159
20100919,US National,Season peak week,20110130
20100919,US National,Season onset,20101219
20100926,US National,1 wk ahead,1.10939
20100926,US National,2 wk ahead,1.24341
20100926,US National,3 wk ahead,1.25726
20100926,US National,4 wk ahead,1.25734
20100926,US National,Season peak percentage,4.55159
20100926,US National,Season peak week,20110130
20100926,US National,Season onset,20101219
20101003,US National,1 wk ahead,1.24341
20101003,US National,2 wk ahead,1.25726
20101003,US National,3 wk ahead,1.25734
20101003,US National,4 wk ahead,1.43414
20101003,US National,Season peak percentage,4.55159
20101003,US National,Season peak week,20110130
20101003,US National,Season onset,20101219
20101010,US National,1 wk ahead,1.25726
20101010,US National,2 wk ahead,1.25734
20101010,US National,3 wk ahead,1.43414
20101010,US National,4 wk ahead,1.51838
20101010,US National,Season peak percentage,4.55159
20101010,US National,Season peak week,20110130
20101010,US National,Season onset,20101219
20101017,US National,1 wk ahead,1.25734
20101017,US National,2 wk ahead,1.43414
20101017,US National,3 wk ahead,1.51838
20101017,US National,4 wk ahead,1.61617
20101017,US National,Season peak percentage,4.55159
20101017,US National,Season peak week,20110130
20101017,US National,Season onset,20101219
20101024,US National,1 wk ahead,1.43414
20101024,US National,2 wk ahead,1.51838
20101024,US National,3 wk ahead,1.61617
20101024,US National,4 wk ahead,1.84378
20101024,US National,Season peak percentage,4.55159
20101024,US National,Season peak week,20110130
20101024,US National,Season onset,20101219
20101031,US National,1 wk ahead,1.51838
20101031,US National,2 wk ahead,1.61617
20101031,US National,3 wk ahead,1.84378
20101031,US National,4 wk ahead,1.72535
20101031,US National,Season peak percentage,4.55159
20101031,US National,Season peak week,20110130
20101031,US National,Season onset,20101219
20101107,US National,1 wk ahead,1.61617
20101107,US National,2 wk ahead,1.84378
20101107,US National,3 wk ahead,1.72535
20101107,US National,4 wk ahead,1.87923
20101107,US National,Season peak percentage,4.55159
20101107,US National,Season peak week,20110130
20101107,US National,Season onset,20101219
20101114,US National,1 wk ahead,1.84378
20101114,US National,2 wk ahead,1.72535
20101114,US National,3 wk ahead,1.87923
20101114,US National,4 wk ahead,2.3371
20101114,US National,Season peak percentage,4.55159
20101114,US National,Season peak week,20110130
20101114,US National,Season onset,20101219
20101121,US National,1 wk ahead,1.72535
20101121,US National,2 wk ahead,1.87923
20101121,US National,3 wk ahead,2.3371
20101121,US National,4 wk ahead,3.03533
20101121,US National,Season peak percentage,4.55159
20101121,US National,Season peak week,20110130
20101121,US National,Season onset,20101219
20101128,US National,1 wk ahead,1.87923
20101128,US National,2 wk ahead,2.3371
20101128,US National,3 wk ahead,3.03533
20101128,US National,4 wk ahead,3.136
20101128,US National,Season peak percentage,4.55159
20101128,US National,Season peak week,20110130
20101128,US National,Season onset,20101219
20101205,US National,1 wk ahead,2.3371
20101205,US National,2 wk ahead,3.03533
20101205,US National,3 wk ahead,3.136
20101205,US National,4 wk ahead,2.53336
20101205,US National,Season peak percentage,4.55159
20101205,US National,Season peak week,20110130
20101205,US National,Season onset,20101219
20101212,US National,1 wk ahead,3.03533
20101212,US National,2 wk ahead,3.136
20101212,US National,3 wk ahead,2.53336
20101212,US National,4 wk ahead,2.91288
20101212,US National,Season peak percentage,4.55159
20101212,US National,Season peak week,20110130
20101212,US National,Season onset,20101219
20101219,US National,1 wk ahead,3.136
20101219,US National,2 wk ahead,2.53336
20101219,US National,3 wk ahead,2.91288
20101219,US National,4 wk ahead,3.44497
20101219,US National,Season peak percentage,4.55159
20101219,US National,Season peak week,20110130
20101219,US National,Season onset,20101219
20101226,US National,1 wk ahead,2.53336
20101226,US National,2 wk ahead,2.91288
20101226,US National,3 wk ahead,3.44497
20101226,US National,4 wk ahead,4.16185
20101226,US National,Season peak percentage,4.55159
20101226,US National,Season peak week,20110130
20101226,US National,Season onset,20101219
20110102,US National,1 wk ahead,2.91288
20110102,US National,2 wk ahead,3.44497
20110102,US National,3 wk ahead,4.16185
20110102,US National,4 wk ahead,4.55159
20110102,US National,Season peak percentage,4.55159
20110102,US National,Season peak week,20110130
20110102,US National,Season onset,20101219
20110109,US National,1 wk ahead,3.44497
20110109,US National,2 wk ahead,4.16185
20110109,US National,3 wk ahead,4.55159
20110109,US National,4 wk ahead,4.46504
20110109,US National,Season peak percentage,4.55159
20110109,US National,Season peak week,20110130
20110109,US National,Season onset,20101219
20110116,US National,1 wk ahead,4.16185
20110116,US National,2 wk ahead,4.55159
20110116,US National,3 wk ahead,4.46504
20110116,US National,4 wk ahead,4.55124
20110116,US National,Season peak percentage,4.55159
20110116,US National,Season peak week,20110130
20110116,US National,Season onset,20101219
20110123,US National,1 wk ahead,4.55159
20110123,US National,2 wk ahead,4.46504
20110123,US National,3 wk ahead,4.55124
20110123,US National,4 wk ahead,4.0822
20110123,US National,Season peak percentage,4.55159
20110123,US National,Season peak week,20110130
20110123,US National,Season onset,20101219
20110130,US National,1 wk ahead,4.46504
20110130,US National,2 wk ahead,4.55124
20110130,US National,3 wk ahead,4.0822
20110130,US National,4 wk ahead,3.38812
20110130,US National,Season peak percentage,4.55159
20110130,US National,Season peak week,20110130
20110130,US National,Season onset,20101219
20110206,US National,1 wk ahead,4.55124
20110206,US National,2 wk ahead,4.0822
20110206,US National,3 wk ahead,3.38812
20110206,US National,4 wk ahead,2.99142
20110206,US National,Season peak percentage,4.55159
20110206,US National,Season peak week,20110130
20110206,US National,Season onset,20101219
20110213,US National,1 wk ahead,4.0822
20110213,US National,2 wk ahead,3.38812
20110213,US National,3 wk ahead,2.99142
20110213,US National,4 wk ahead,2.61542
20110213,US National,Season peak percentage,4.55159
20110213,US National,Season peak week,20110130
20110213,US National,Season onset,20101219
20110220,US National,1 wk ahead,3.38812
20110220,US National,2 wk ahead,2.99142
20110220,US National,3 wk ahead,2.61542
20110220,US National,4 wk ahead,2.09065
20110220,US National,Season peak percentage,4.55159
20110220,US National,Season peak week,20110130
20110220,US National,Season onset,20101219
20110227,US National,1 wk ahead,2.99142
20110227,US National,2 wk ahead,2.61542
20110227,US National,3 wk ahead,2.09065
20110227,US National,4 wk ahead,1.86146
20110227,US National,Season peak percentage,4.55159
20110227,US National,Season peak week,20110130
20110227,US National,Season onset,20101219
20110306,US National,1 wk ahead,2.61542
20110306,US National,2 wk ahead,2.09065
20110306,US National,3 wk ahead,1.86146
20110306,US National,4 wk ahead,1.61377
20110306,US National,Season peak percentage,4.55159
20110306,US National,Season peak week,20110130
20110306,US National,Season onset,20101219
20110313,US National,1 wk ahead,2.09065
20110313,US National,2 wk ahead,1.86146
20110313,US National,3 wk ahead,1.61377
20110313,US National,4 wk ahead,1.42199
20110313,US National,Season peak percentage,4.55159
20110313,US National,Season peak week,20110130
20110313,US National,Season onset,20101219
20110320,US National,1 wk ahead,1.86146
20110320,US National,2 wk ahead,1.61377
20110320,US National,3 wk ahead,1.42199
20110320,US National,4 wk ahead,1.3382
20110320,US National,Season peak percentage,4.55159
20110320,US National,Season peak week,20110130
20110320,US National,Season onset,20101219
20110327,US National,1 wk ahead,1.61377
20110327,US National,2 wk ahead,1.42199
20110327,US National,3 wk ahead,1.3382
20110327,US National,4 wk ahead,1.19995
20110327,US National,Season peak percentage,4.55159
20110327,US National,Season peak week,20110130
20110327,US National,Season onset,20101219
20110403,US National,1 wk ahead,1.42199
20110403,US National,2 wk ahead,1.3382
20110403,US National,3 wk ahead,1.19995
20110403,US National,4 wk ahead,1.14889
20110403,US National,Season peak percentage,4.55159
20110403,US National,Season peak week,20110130
20110403,US National,Season onset,20101219
20110410,US National,1 wk ahead,1.3382
20110410,US National,2 wk ahead,1.19995
20110410,US National,3 wk ahead,1.14889
20110410,US National,4 wk ahead,1.12194
20110410,US National,Season peak percentage,4.55159
20110410,US National,Season peak week,20110130
20110410,US National,Season onset,20101219
20110417,US National,1 wk ahead,1.19995
20110417,US National,2 wk ahead,1.14889
20110417,US National,3 wk ahead,1.12194
20110417,US National,4 wk ahead,1.06712
20110417,US National,Season peak percentage,4.55159
20110417,US National,Season peak week,20110130
20110417,US National,Season onset,20101219
20110424,US National,1 wk ahead,1.14889
20110424,US National,2 wk ahead,1.12194
20110424,US National,3 wk ahead,1.06712
20110424,US National,4 wk ahead,1.05058
20110424,US National,Season peak percentage,4.55159
20110424,US National,Season peak week,20110130
20110424,US National,Season onset,20101219
20110501,US National,1 wk ahead,1.12194
20110501,US National,2 wk ahead,1.06712
20110501,US National,3 wk ahead,1.05058
20110501,US National,4 wk ahead,1.15203
20110501,US National,Season peak percentage,4.55159
20110501,US National,Season peak week,20110130
20110501,US National,Season onset,20101219
20110508,US National,1 wk ahead,1.06712
20110508,US National,2 wk ahead,1.05058
20110508,US National,3 wk ahead,1.15203
20110508,US National,4 wk ahead,0.970975
20110508,US National,Season peak percentage,4.55159
20110508,US National,Season peak week,20110130
20110508,US National,Season onset,20101219
20110515,US National,1 wk ahead,1.05058
20110515,US National,2 wk ahead,1.15203
20110515,US National,3 wk ahead,0.970975
20110515,US National,4 wk ahead,0.894683
20110515,US National,Season peak percentage,4.55159
20110515,US National,Season peak week,20110130
20110515,US National,Season onset,20101219
20110522,US National,1 wk ahead,1.15203
20110522,US National,2 wk ahead,0.970975
20110522,US National,3 wk ahead,0.894683
20110522,US National,4 wk ahead,0.843568
20110522,US National,Season peak percentage,4.55159
20110522,US National,Season peak week,20110130
20110522,US National,Season onset,20101219
20110529,US National,1 wk ahead,0.970975
20110529,US National,2 wk ahead,0.894683
20110529,US National,3 wk ahead,0.843568
20110529,US National,4 wk ahead,0.815409
20110529,US National,Season peak percentage,4.55159
20110529,US National,Season peak week,20110130
20110529,US National,Season onset,20101219
20110605,US National,1 wk ahead,0.894683
20110605,US National,2 wk ahead,0.843568
20110605,US National,3 wk ahead,0.815409
20110605,US National,4 wk ahead,0.823052
20110605,US National,Season peak percentage,4.55159
20110605,US National,Season peak week,20110130
20110605,US National,Season onset,20101219
20110612,US National,1 wk ahead,0.843568
20110612,US National,2 wk ahead,0.815409
20110612,US National,3 wk ahead,0.823052
20110612,US National,4 wk ahead,0.674635
20110612,US National,Season peak percentage,4.55159
20110612,US National,Season peak week,20110130
20110612,US National,Season onset,20101219
20110619,US National,1 wk ahead,0.815409
20110619,US National,2 wk ahead,0.823052
20110619,US National,3 wk ahead,0.674635
20110619,US National,4 wk ahead,0.631883
20110619,US National,Season peak percentage,4.55159
20110619,US National,Season peak week,20110130
20110619,US National,Season onset,20101219
20110626,US National,1 wk ahead,0.823052
20110626,US National,2 wk ahead,0.674635
20110626,US National,3 wk ahead,0.631883
20110626,US National,4 wk ahead,0.641513
20110626,US National,Season peak percentage,4.55159
20110626,US National,Season peak week,20110130
20110626,US National,Season onset,20101219
20110703,US National,1 wk ahead,0.674635
20110703,US National,2 wk ahead,0.631883
20110703,US National,3 wk ahead,0.641513
20110703,US National,4 wk ahead,0.529813
20110703,US National,Season peak percentage,4.55159
20110703,US National,Season peak week,20110130
20110703,US National,Season onset,20101219
20110710,US National,1 wk ahead,0.631883
20110710,US National,2 wk ahead,0.641513
20110710,US National,3 wk ahead,0.529813
20110710,US National,4 wk ahead,0.644089
20110710,US National,Season peak percentage,4.55159
20110710,US National,Season peak week,20110130
20110710,US National,Season onset,20101219
20110717,US National,1 wk ahead,0.641513
20110717,US National,2 wk ahead,0.529813
20110717,US National,3 wk ahead,0.644089
20110717,US National,4 wk ahead,0.667718
20110717,US National,Season peak percentage,4.55159
20110717,US National,Season peak week,20110130
20110717,US National,Season onset,20101219
20100725,HHS Region 1,1 wk ahead,0.35679646421775
20100725,HHS Region 1,2 wk ahead,0.42054728578869
20100725,HHS Region 1,3 wk ahead,0.32461518300333
20100725,HHS Region 1,4 wk ahead,0.26672275485035
20100725,HHS Region 1,Season peak percentage,2.32248
20100725,HHS Region 1,Season peak week,20110220
20100725,HHS Region 1,Season onset,20110123
20100801,HHS Region 1,1 wk ahead,0.42054728578869
20100801,HHS Region 1,2 wk ahead,0.32461518300333
20100801,HHS Region 1,3 wk ahead,0.26672275485035
20100801,HHS Region 1,4 wk ahead,0.240130688028
20100801,HHS Region 1,Season peak percentage,2.32248
20100801,HHS Region 1,Season peak week,20110220
20100801,HHS Region 1,Season onset,20110123
20100808,HHS Region 1,1 wk ahead,0.32461518300333
20100808,HHS Region 1,2 wk ahead,0.26672275485035
20100808,HHS Region 1,3 wk ahead,0.240130688028
20100808,HHS Region 1,4 wk ahead,0.42352593939085
20100808,HHS Region 1,Season peak percentage,2.32248
20100808,HHS Region 1,Season peak week,20110220
20100808,HHS Region 1,Season onset,20110123
20100815,HHS Region 1,1 wk ahead,0.26672275485035
20100815,HHS Region 1,2 wk ahead,0.240130688028
20100815,HHS Region 1,3 wk ahead,0.42352593939085
20100815,HHS Region 1,4 wk ahead,0.40425599953626
20100815,HHS Region 1,Season peak percentage,2.32248
20100815,HHS Region 1,Season peak week,20110220
20100815,HHS Region 1,Season onset,20110123
20100822,HHS Region 1,1 wk ahead,0.240130688028
20100822,HHS Region 1,2 wk ahead,0.42352593939085
20100822,HHS Region 1,3 wk ahead,0.40425599953626
20100822,HHS Region 1,4 wk ahead,0.44641767224255
20100822,HHS Region 1,Season peak percentage,2.32248
20100822,HHS Region 1,Season peak week,20110220
20100822,HHS Region 1,Season onset,20110123
20100829,HHS Region 1,1 wk ahead,0.42352593939085
20100829,HHS Region 1,2 wk ahead,0.40425599953626
20100829,HHS Region 1,3 wk ahead,0.44641767224255
20100829,HHS Region 1,4 wk ahead,0.35744473874871
20100829,HHS Region 1,Season peak percentage,2.32248
20100829,HHS Region 1,Season peak week,20110220
20100829,HHS Region 1,Season onset,20110123
20100905,HHS Region 1,1 wk ahead,0.40425599953626
20100905,HHS Region 1,2 wk ahead,0.44641767224255
20100905,HHS Region 1,3 wk ahead,0.35744473874871
20100905,HHS Region 1,4 wk ahead,0.415796
20100905,HHS Region 1,Season peak percentage,2.32248
20100905,HHS Region 1,Season peak week,20110220
20100905,HHS Region 1,Season onset,20110123
20100912,HHS Region 1,1 wk ahead,0.44641767224255
20100912,HHS Region 1,2 wk ahead,0.35744473874871
20100912,HHS Region 1,3 wk ahead,0.415796
20100912,HHS Region 1,4 wk ahead,0.58519
20100912,HHS Region 1,Season peak percentage,2.32248
20100912,HHS Region 1,Season peak week,20110220
20100912,HHS Region 1,Season onset,20110123
20100919,HHS Region 1,1 wk ahead,0.35744473874871
20100919,HHS Region 1,2 wk ahead,0.415796
20100919,HHS Region 1,3 wk ahead,0.58519
20100919,HHS Region 1,4 wk ahead,0.587396
20100919,HHS Region 1,Season peak percentage,2.32248
20100919,HHS Region 1,Season peak week,20110220
20100919,HHS Region 1,Season onset,20110123
20100926,HHS Region 1,1 wk ahead,0.415796
20100926,HHS Region 1,2 wk ahead,0.58519
20100926,HHS Region 1,3 wk ahead,0.587396
20100926,HHS Region 1,4 wk ahead,0.572541
20100926,HHS Region 1,Season peak percentage,2.32248
20100926,HHS Region 1,Season peak week,20110220
20100926,HHS Region 1,Season onset,20110123
20101003,HHS Region 1,1 wk ahead,0.58519
20101003,HHS Region 1,2 wk ahead,0.587396
20101003,HHS Region 1,3 wk ahead,0.572541
20101003,HHS Region 1,4 wk ahead,0.603793
20101003,HHS Region 1,Season peak percentage,2.32248
20101003,HHS Region 1,Season peak week,20110220
20101003,HHS Region 1,Season onset,20110123
20101010,HHS Region 1,1 wk ahead,0.587396
20101010,HHS Region 1,2 wk ahead,0.572541
20101010,HHS Region 1,3 wk ahead,0.603793
20101010,HHS Region 1,4 wk ahead,0.556758
20101010,HHS Region 1,Season peak percentage,2.32248
20101010,HHS Region 1,Season peak week,20110220
20101010,HHS Region 1,Season onset,20110123
20101017,HHS Region 1,1 wk ahead,0.572541
20101017,HHS Region 1,2 wk ahead,0.603793
20101017,HHS Region 1,3 wk ahead,0.556758
20101017,HHS Region 1,4 wk ahead,0.705164
20101017,HHS Region 1,Season peak percentage,2.32248
20101017,HHS Region 1,Season peak week,20110220
20101017,HHS Region 1,Season onset,20110123
20101024,HHS Region 1,1 wk ahead,0.603793
20101024,HHS Region 1,2 wk ahead,0.556758
20101024,HHS Region 1,3 wk ahead,0.705164
20101024,HHS Region 1,4 wk ahead,0.820865
20101024,HHS Region 1,Season peak percentage,2.32248
20101024,HHS Region 1,Season peak week,20110220
20101024,HHS Region 1,Season onset,20110123
20101031,HHS Region 1,1 wk ahead,0.556758
20101031,HHS Region 1,2 wk ahead,0.705164
20101031,HHS Region 1,3 wk ahead,0.820865
20101031,HHS Region 1,4 wk ahead,0.689018
20101031,HHS Region 1,Season peak percentage,2.32248
20101031,HHS Region 1,Season peak week,20110220
20101031,HHS Region 1,Season onset,20110123
20101107,HHS Region 1,1 wk ahead,0.705164
20101107,HHS Region 1,2 wk ahead,0.820865
20101107,HHS Region 1,3 wk ahead,0.689018
20101107,HHS Region 1,4 wk ahead,0.760426
20101107,HHS Region 1,Season peak percentage,2.32248
20101107,HHS Region 1,Season peak week,20110220
20101107,HHS Region 1,Season onset,20110123
20101114,HHS Region 1,1 wk ahead,0.820865
20101114,HHS Region 1,2 wk ahead,0.689018
20101114,HHS Region 1,3 wk ahead,0.760426
20101114,HHS Region 1,4 wk ahead,0.802437
20101114,HHS Region 1,Season peak percentage,2.32248
20101114,HHS Region 1,Season peak week,20110220
20101114,HHS Region 1,Season onset,20110123
20101121,HHS Region 1,1 wk ahead,0.689018
20101121,HHS Region 1,2 wk ahead,0.760426
20101121,HHS Region 1,3 wk ahead,0.802437
20101121,HHS Region 1,4 wk ahead,1.01492
20101121,HHS Region 1,Season peak percentage,2.32248
20101121,HHS Region 1,Season peak week,20110220
20101121,HHS Region 1,Season onset,20110123
20101128,HHS Region 1,1 wk ahead,0.760426
20101128,HHS Region 1,2 wk ahead,0.802437
20101128,HHS Region 1,3 wk ahead,1.01492
20101128,HHS Region 1,4 wk ahead,1.13074
20101128,HHS Region 1,Season peak percentage,2.32248
20101128,HHS Region 1,Season peak week,20110220
20101128,HHS Region 1,Season onset,20110123
20101205,HHS Region 1,1 wk ahead,0.802437
20101205,HHS Region 1,2 wk ahead,1.01492
20101205,HHS Region 1,3 wk ahead,1.13074
20101205,HHS Region 1,4 wk ahead,0.959888
20101205,HHS Region 1,Season peak percentage,2.32248
20101205,HHS Region 1,Season peak week,20110220
20101205,HHS Region 1,Season onset,20110123
20101212,HHS Region 1,1 wk ahead,1.01492
20101212,HHS Region 1,2 wk ahead,1.13074
20101212,HHS Region 1,3 wk ahead,0.959888
20101212,HHS Region 1,4 wk ahead,1.18688
20101212,HHS Region 1,Season peak percentage,2.32248
20101212,HHS Region 1,Season peak week,20110220
20101212,HHS Region 1,Season onset,20110123
20101219,HHS Region 1,1 wk ahead,1.13074
20101219,HHS Region 1,2 wk ahead,0.959888
20101219,HHS Region 1,3 wk ahead,1.18688
20101219,HHS Region 1,4 wk ahead,1.20524
20101219,HHS Region 1,Season peak percentage,2.32248
20101219,HHS Region 1,Season peak week,20110220
20101219,HHS Region 1,Season onset,20110123
20101226,HHS Region 1,1 wk ahead,0.959888
20101226,HHS Region 1,2 wk ahead,1.18688
20101226,HHS Region 1,3 wk ahead,1.20524
20101226,HHS Region 1,4 wk ahead,1.40872
20101226,HHS Region 1,Season peak percentage,2.32248
20101226,HHS Region 1,Season peak week,20110220
20101226,HHS Region 1,Season onset,20110123
20110102,HHS Region 1,1 wk ahead,1.18688
20110102,HHS Region 1,2 wk ahead,1.20524
20110102,HHS Region 1,3 wk ahead,1.40872
20110102,HHS Region 1,4 wk ahead,1.87486
20110102,HHS Region 1,Season peak percentage,2.32248
20110102,HHS Region 1,Season peak week,20110220
20110102,HHS Region 1,Season onset,20110123
20110109,HHS Region 1,1 wk ahead,1.20524
20110109,HHS Region 1,2 wk ahead,1.40872
20110109,HHS Region 1,3 wk ahead,1.87486
20110109,HHS Region 1,4 wk ahead,1.99294
20110109,HHS Region 1,Season peak percentage,2.32248
20110109,HHS Region 1,Season peak week,20110220
20110109,HHS Region 1,Season onset,20110123
20110116,HHS Region 1,1 wk ahead,1.40872
20110116,HHS Region 1,2 wk ahead,1.87486
20110116,HHS Region 1,3 wk ahead,1.99294
20110116,HHS Region 1,4 wk ahead,2.31154
20110116,HHS Region 1,Season peak percentage,2.32248
20110116,HHS Region 1,Season peak week,20110220
20110116,HHS Region 1,Season onset,20110123
20110123,HHS Region 1,1 wk ahead,1.87486
20110123,HHS Region 1,2 wk ahead,1.99294
20110123,HHS Region 1,3 wk ahead,2.31154
20110123,HHS Region 1,4 wk ahead,2.32248
20110123,HHS Region 1,Season peak percentage,2.32248
20110123,HHS Region 1,Season peak week,20110220
20110123,HHS Region 1,Season onset,20110123
20110130,HHS Region 1,1 wk ahead,1.99294
20110130,HHS Region 1,2 wk ahead,2.31154
20110130,HHS Region 1,3 wk ahead,2.32248
20110130,HHS Region 1,4 wk ahead,1.75247
20110130,HHS Region 1,Season peak percentage,2.32248
20110130,HHS Region 1,Season peak week,20110220
20110130,HHS Region 1,Season onset,20110123
20110206,HHS Region 1,1 wk ahead,2.31154
20110206,HHS Region 1,2 wk ahead,2.32248
20110206,HHS Region 1,3 wk ahead,1.75247
20110206,HHS Region 1,4 wk ahead,1.65827
20110206,HHS Region 1,Season peak percentage,2.32248
20110206,HHS Region 1,Season peak week,20110220
20110206,HHS Region 1,Season onset,20110123
20110213,HHS Region 1,1 wk ahead,2.32248
20110213,HHS Region 1,2 wk ahead,1.75247
20110213,HHS Region 1,3 wk ahead,1.65827
20110213,HHS Region 1,4 wk ahead,1.36504
20110213,HHS Region 1,Season peak percentage,2.32248
20110213,HHS Region 1,Season peak week,20110220
20110213,HHS Region 1,Season onset,20110123
20110220,HHS Region 1,1 wk ahead,1.75247
20110220,HHS Region 1,2 wk ahead,1.65827
20110220,HHS Region 1,3 wk ahead,1.36504
20110220,HHS Region 1,4 wk ahead,1.02294
20110220,HHS Region 1,Season peak percentage,2.32248
20110220,HHS Region 1,Season peak week,20110220
20110220,HHS Region 1,Season onset,20110123
20110227,HHS Region 1,1 wk ahead,1.65827
20110227,HHS Region 1,2 wk ahead,1.36504
20110227,HHS Region 1,3 wk ahead,1.02294
20110227,HHS Region 1,4 wk ahead,1.11948
20110227,HHS Region 1,Season peak percentage,2.32248
20110227,HHS Region 1,Season peak week,20110220
20110227,HHS Region 1,Season onset,20110123
20110306,HHS Region 1,1 wk ahead,1.36504
20110306,HHS Region 1,2 wk ahead,1.02294
20110306,HHS Region 1,3 wk ahead,1.11948
20110306,HHS Region 1,4 wk ahead,0.934313
20110306,HHS Region 1,Season peak percentage,2.32248
20110306,HHS Region 1,Season peak week,20110220
20110306,HHS Region 1,Season onset,20110123
20110313,HHS Region 1,1 wk ahead,1.02294
20110313,HHS Region 1,2 wk ahead,1.11948
20110313,HHS Region 1,3 wk ahead,0.934313
20110313,HHS Region 1,4 wk ahead,0.834506
20110313,HHS Region 1,Season peak percentage,2.32248
20110313,HHS Region 1,Season peak week,20110220
20110313,HHS Region 1,Season onset,20110123
20110320,HHS Region 1,1 wk ahead,1.11948
20110320,HHS Region 1,2 wk ahead,0.934313
20110320,HHS Region 1,3 wk ahead,0.834506
20110320,HHS Region 1,4 wk ahead,0.779753
20110320,HHS Region 1,Season peak percentage,2.32248
20110320,HHS Region 1,Season peak week,20110220
20110320,HHS Region 1,Season onset,20110123
20110327,HHS Region 1,1 wk ahead,0.934313
20110327,HHS Region 1,2 wk ahead,0.834506
20110327,HHS Region 1,3 wk ahead,0.779753
20110327,HHS Region 1,4 wk ahead,0.675821
20110327,HHS Region 1,Season peak percentage,2.32248
20110327,HHS Region 1,Season peak week,20110220
20110327,HHS Region 1,Season onset,20110123
20110403,HHS Region 1,1 wk ahead,0.834506
20110403,HHS Region 1,2 wk ahead,0.779753
20110403,HHS Region 1,3 wk ahead,0.675821
20110403,HHS Region 1,4 wk ahead,0.592222
20110403,HHS Region 1,Season peak percentage,2.32248
20110403,HHS Region 1,Season peak week,20110220
20110403,HHS Region 1,Season onset,20110123
20110410,HHS Region 1,1 wk ahead,0.779753
20110410,HHS Region 1,2 wk ahead,0.675821
20110410,HHS Region 1,3 wk ahead,0.592222
20110410,HHS Region 1,4 wk ahead,0.515393
20110410,HHS Region 1,Season peak percentage,2.32248
20110410,HHS Region 1,Season peak week,20110220
20110410,HHS Region 1,Season onset,20110123
20110417,HHS Region 1,1 wk ahead,0.675821
20110417,HHS Region 1,2 wk ahead,0.592222
20110417,HHS Region 1,3 wk ahead,0.515393
20110417,HHS Region 1,4 wk ahead,0.498389
20110417,HHS Region 1,Season peak percentage,2.32248
20110417,HHS Region 1,Season peak week,20110220
20110417,HHS Region 1,Season onset,20110123
20110424,HHS Region 1,1 wk ahead,0.592222
20110424,HHS Region 1,2 wk ahead,0.515393
20110424,HHS Region 1,3 wk ahead,0.498389
20110424,HHS Region 1,4 wk ahead,0.555332
20110424,HHS Region 1,Season peak percentage,2.32248
20110424,HHS Region 1,Season peak week,20110220
20110424,HHS Region 1,Season onset,20110123
20110501,HHS Region 1,1 wk ahead,0.515393
20110501,HHS Region 1,2 wk ahead,0.498389
20110501,HHS Region 1,3 wk ahead,0.555332
20110501,HHS Region 1,4 wk ahead,0.574262
20110501,HHS Region 1,Season peak percentage,2.32248
20110501,HHS Region 1,Season peak week,20110220
20110501,HHS Region 1,Season onset,20110123
